Event Clearance Date,Longitude,Latitude
04/21/2014 12:01:00 PM,-122.329067736,47.572688084
04/21/2014 10:41:00 AM,-122.292266723,47.726474987
04/20/2014 04:33:00 AM,-122.34509609,47.547369194
04/19/2014 05:41:00 AM,-122.387394789,47.528536833
04/18/2014 07:44:00 PM,-122.291970542,47.570390623
04/18/2014 07:17:00 PM,-122.32089215,47.621075774
04/17/2014 07:42:00 PM,-122.2861616,47.554464562
04/17/2014 05:41:00 PM,-122.340894618,47.612397329
04/17/2014 03:36:00 PM,-122.35483058,47.549258385
04/15/2014 05:14:00 AM,-122.279210748,47.523244579
04/14/2014 11:13:00 PM,-122.32085773,47.618737296
04/14/2014 05:50:00 PM,-122.319588647,47.646268694
04/14/2014 02:38:00 AM,-122.334524328,47.702331629
04/13/2014 10:19:00 AM,-122.354390457,47.671793659
04/13/2014 04:37:00 AM,-122.317226088,47.599187637
04/12/2014 11:12:00 AM,-122.353960824,47.665018379
04/11/2014 03:12:00 PM,-122.269989583,47.530965622
04/11/2014 05:56:00 AM,-122.291490507,47.558995035
04/10/2014 07:51:00 PM,-122.3156771,47.624802526
04/10/2014 11:44:00 AM,-122.329153401,47.618237757
04/10/2014 05:31:00 AM,-122.336165509,47.616053296
04/08/2014 11:49:00 PM,-122.355028671,47.534554988
04/08/2014 07:36:00 PM,-122.371671484,47.566137248
04/05/2014 12:51:00 PM,-122.36731199,47.52102758
04/04/2014 12:53:00 PM,-122.336165509,47.616053296
04/02/2014 04:21:00 PM,-122.321398879,47.578639944
04/01/2014 07:24:00 PM,-122.335868685,47.592395013
04/01/2014 06:24:00 PM,-122.32210066,47.643840054
04/01/2014 10:41:00 AM,-122.334524328,47.702331629
03/30/2014 01:37:00 PM,-122.334312527,47.548269151
03/30/2014 08:54:00 AM,-122.314260626,47.684883454
03/29/2014 09:28:00 PM,-122.316845012,47.61468385
03/29/2014 05:18:00 PM,-122.334524328,47.702331629
03/29/2014 04:14:00 PM,-122.374353446,47.548312372
03/28/2014 11:31:00 PM,-122.311930739,47.675782884
03/28/2014 10:27:00 PM,-122.319447319,47.614083354
03/28/2014 02:08:00 PM,-122.293751051,47.538912492
03/28/2014 11:32:00 AM,-122.293751051,47.538912492
03/27/2014 01:07:00 PM,-122.302490422,47.620791188
03/27/2014 12:58:00 AM,-122.363282494,47.668281273
